ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly
2023-02-21,100005.00047492371,22651.83497586296,175586.05433039763,100528.42992739323,0.09225433565156832,-0.09746111599069791
2023-02-22,108791.7257808645,33382.622891992185,186326.8826689283,100543.05976568862,0.1773582548806545,-0.0953171270852698
2023-02-23,127192.85463103557,53406.34487063478,207330.6785621417,100557.689603984,0.3579906899993853,-0.09311621712768257
2023-02-24,122866.69629504553,46546.015474137756,204007.08306329712,100572.3194422794,0.3125630939656151,-0.09088801501348515
2023-02-25,10440.895882651288,0.0,88544.52857088804,100586.94928057479,-0.8075477062299545,-0.08865258657813421
2023-02-26,35874.84190252129,0.0,111281.2320345737,100601.57911887017,-0.5569768509354519,-0.08641998024021169
2023-02-27,134842.62330074297,55693.186928289964,208172.42599959657,100616.20895716557,0.4243581826696041,-0.08419018490546351
2023-02-28,101667.42069159956,25837.18258816347,183866.67220087524,100630.83879546095,0.09225433565300792,-0.08195349836946364
2023-03-01,110475.20599869995,36582.187695647284,189071.9248457807,100645.46863375636,0.1773582548807759,-0.07969129084970258
2023-03-02,128906.68652966758,52175.16413869375,214258.783484966,100660.09847205174,0.3579906899993337,-0.0773771352107051
2023-03-03,124593.51658607561,47902.880541518185,198038.92990697807,100674.72831034714,0.312563093964743,-0.07497826332090253
2023-03-04,12082.219188447836,0.0,92801.226176848,100689.35814864252,-0.8075477062312058,-0.07245729717132388
2023-03-05,37587.65826424383,0.0,115479.51832164124,100703.98798693791,-0.5569768509339308,-0.06977419422706879
2023-03-06,136722.48636842915,60144.44369651035,210731.67481217155,100718.6178252333,0.42435818266825936,-0.06688833925093142
2023-03-07,103603.50313741335,26847.946407358806,186146.08921395987,100733.24766352869,0.09225433565309299,-0.06376070976035944
2023-03-08,112535.60236397131,36367.75244265334,186852.3316927927,100747.87750182408,0.17735825488107015,-0.06035603950503119
2023-03-09,131126.8643167716,59896.69924803864,212812.67083653688,100762.50734011947,0.357990690000091,-0.056644903971180764
2023-03-10,126974.90377233597,56555.5429269965,203399.86226379045,100777.13717841487,0.31256309396387083,-0.05260565393914766
2023-03-11,14536.810150144975,0.0,90768.55282825105,100791.76701689325,-0.8075477062290305,-0.04822612748391028
2023-03-12,40273.97728553686,0.0,114444.33576707068,100806.39685537161,-0.5569768509324096,-0.0435050773789603
2023-03-13,139728.35725953683,59163.65381825002,219547.9690089443,100821.02669384998,0.42435818266881453,-0.03845325944449909
2023-03-14,106801.11393261178,28813.214511369253,187937.42866323682,100835.65653232836,0.09225433565261773,-0.03309413770844227
2023-03-15,115967.14735171571,35712.69648995764,192448.0700771531,100850.28637080672,0.17735825488119156,-0.027464174012375053
2023-03-16,134793.65574713444,52193.62583159151,204556.84970246797,100864.9162092851,0.35799069000003936,-0.02161268253260197
2023-03-17,130836.92274479667,49279.15270273632,210057.92153838344,100879.54604776346,0.31256309396299864,-0.015601243214292147
2023-03-18,18458.550316483772,0.0,99253.98652627914,100894.17588624184,-0.8075477062302815,-0.009502681918031584
2023-03-19,44361.88339578788,0.0,123248.92425665015,100908.80572472021,-0.5569768509330946,-0.003399638738110663
2023-03-20,144015.2622158759,67882.70065994663,229713.32434816167,100923.43556319857,0.4243581826702927,0.0026172409486656893
2023-03-21,111103.11217655774,29310.065930161283,190717.69101721555,100938.06540167694,0.09225433565214258,0.008451446001484366
2023-03-22,120271.13090486823,44608.916651925116,195921.80931420962,100952.6952401553,0.1773582548803631,0.014003012084887235
2023-03-23,139048.3462377503,59598.54362432055,216265.99780151987,100967.32507863369,0.35799068999998773,0.019171140616590147
2023-03-24,134954.30865047564,56531.050479902275,212248.8591809175,100981.95491711206,0.3125630939629418,0.023856950204837992
2023-03-25,22261.5233325042,0.0,97201.34557163704,100996.58475559042,-0.8075477062304679,0.02796628163454327
2023-03-26,47923.318606616434,0.0,126108.68766179601,101011.21459406879,-0.5569768509315733,0.031412474730422406
2023-03-27,147343.8925114712,73087.92545360715,231368.48227861815,101025.84443254718,0.42435818266802494,0.03411903510816105
2023-03-28,114001.58727201007,35389.8622837008,192331.63453952008,101040.47427102554,0.09225433565166735,0.0360221109356511
2023-03-29,122724.4470152684,38905.08346585315,203539.1238448451,101055.10410950391,0.1773582548804845,0.037072704314643795
2023-03-30,141015.4479447341,61546.729762119045,221396.8682780738,101069.73394798227,0.3579906899993089,0.03723854863023723
2023-03-31,136369.74982592103,56173.72788429978,214149.43173400246,101084.36378646064,0.31256309396125437,0.03650559201277313
2023-04-01,22982.96882667091,0.0,102659.76050145407,101098.99362493902,-0.8075477062306545,0.034879037657493665
2023-04-02,48070.129740103905,0.0,120889.57832660296,101113.62346341737,-0.5569768509348407,0.03238390384789889
2023-04-03,146982.15583943253,66567.1321629891,223077.46890677407,101128.25330189576,0.42435818266857994,0.02906507977668555
2023-04-04,113000.99642646415,40678.50770574348,189788.36282063936,101142.88314037414,0.09225433565175242,0.02498686726741267
2023-04-05,121145.25305289669,43033.600598024794,196836.40586513138,101157.5129788525,0.17735825488069235,0.020232012865636445
2023-04-06,138898.31816012133,64644.52473867078,211572.46154304646,101172.14281733087,0.35799068999925726,0.014900249069871009
